id,title,description,cluster,skills,duration_years
11,Elektroniker/in für Energie- und Gebäudetechnik,"Plant, installiert und wartet elektrotechnische Anlagen in Gebäuden: Energieverteilung, Beleuchtung, Smart‑Home/KNX, PV‑Anlagen und Ladeinfrastruktur. Führt Mess‑ und Prüfaufgaben gemäß Normen durch.",Elektro/Mechatronik,Gebäudeinstallation|Schaltanlagen|KNX|Photovoltaik|E-Mobilität|Prüfungen|Sicherheit,3.5
12,Elektroniker/in für Geräte und Systeme,"Fertigt, prüft und wartet elektronische Baugruppen und Geräte. Unterstützt Entwicklung mit Musterbau, Messreihen und EMV‑Prüfungen und dokumentiert Änderungen sowie Prüfprotokolle.",Elektro/Mechatronik,Elektronikentwicklung|Bestückung/Löten|Mess-/Prüftechnik|EMV|Mikrocontroller|Schaltplan/Layout|Fehlersuche,3.5
13,Fluggerätmechaniker/in,"Fertigt, montiert und wartet Luftfahrzeugstrukturen und -systeme. Arbeitet nach luftfahrtrechtlichen Vorgaben, dokumentiert Arbeiten lückenlos und führt Funktionsprüfungen durch.",Elektro/Mechatronik,Luftfahrtrecht|Strukturreparatur|Triebwerkstechnik|Avionik-Grundlagen|Dokumentation|Prüfen|Sicherheit,3.5
14,Mechatroniker/in,"Baut und wartet mechatronische Systeme, analysiert Störungen und setzt Anlagen instand. Kombiniert mechanische, elektrische und steuerungstechnische Komponenten.",Elektro/Mechatronik,Mechanik|Elektronik|Pneumatik|Hydraulik|Instandhaltung|Systemdiagnose|Montage,3.5
15,Verfahrensmechaniker/in für Kunststoff- und Kautschuktechnik,"Rüstet und steuert Anlagen zur Kunststoffverarbeitung (z. B. Spritzguss), überwacht Parameter, prüft Qualität und optimiert Zykluszeiten und Materialeinsatz.",Elektro/Mechatronik,Spritzguss|Extrusion|Prozesssteuerung|Werkstoffkunde|Qualität|Rüsten|Fehleranalyse,3.0
16,Bäcker/in,"Stellt Backwaren her, steuert Teigführung und Backprozesse, achtet auf Hygiene und Qualität, gestaltet Sortimente und arbeitet im Team mit Verkauf/Logistik.",Gastronomie,Teigführung|Ofentechnik|Hygiene|Produktentwicklung|Dekoration|Qualität|Zeitplanung,3.0
17,Fachmann/-frau für Restaurants und Veranstaltungsgastronomie,"Berät Gäste, serviert Speisen und Getränke, gestaltet Veranstaltungen und setzt Service‑Standards um. Kennt Getränke‑/Weinkunde, Bar‑Basics und digitale Kassensysteme.",Gastronomie,Service|Getränkekunde|Barista/Barkunde|Gästekommunikation|Veranstaltungsorganisation|Abrechnung,3.0
18,Hotelfachmann/-frau,"Betreut Gäste von der Reservierung bis zum Check‑out, plant Veranstaltungen, koordiniert Housekeeping und arbeitet mit Hotel‑IT. Sichert Servicequalität und Wirtschaftlichkeit.",Gastronomie,Front Office|Reservierung|Service|Housekeeping|Veranstaltungen|Abrechnung|Fremdsprachen,3.0
19,Koch/Köchin,"Bereitet Speisen nach Rezeptur und Saison zu, organisiert Arbeitsabläufe in der Küche und stellt Hygiene sowie Qualität sicher. Kalkuliert Menüs und arbeitet im Team mit Service.",Gastronomie,Lebensmittelkunde|Mise en Place|Garmethoden|Speisenproduktion|Hygiene|Kalkulation|Teamarbeit,3.0
20,Konditor/in,"Fertigt feine Backwaren, Pralinen und Schaustücke, plant und dekoriert Torten, setzt Hygienestandards um und erfüllt individuelle Kundenwünsche.",Gastronomie,Patisserie|Torten/Desserts|Schokolade|Zuckerarbeiten|Dekor|Hygiene|Kundenaufträge,3.0
21,Augenoptiker/in,"Ermittelt Sehbedarf, berät zu Brillengläsern/‑fassungen, fertigt und passt Brillen an und führt Werkstatt‑ und Servicearbeiten durch.",Gesundheit,Refraktion|Werkstatt|Brillenanpassung|Kundenberatung|Sehprofile|Kontaktlinsen|Qualität,3.0
22,Biologielaborant/in,"Arbeitet in mikro‑ und molekularbiologischen Laboren, kultiviert Zellen, führt PCR/ELISA durch und dokumentiert Ergebnisse qualitätsgesichert.",Gesundheit,Mikrobiologie|Molekularbiologie|Zellkultur|PCR|Dokumentation|Steriltechnik|Qualität,3.5
23,Chemielaborant/in,"Plant und führt chemische Analysen und Synthesen durch, nutzt GC/HPLC und spektroskopische Methoden, dokumentiert nach GMP/GLP und achtet auf Arbeitsschutz.",Gesundheit,Analytik|Synthese|Chromatographie|Spektroskopie|Dokumentation|SOP|Arbeitssicherheit,3.5
24,Medizinische/r Fachangestellte/r (MFA),"Organisiert Abläufe in Arztpraxen, assistiert bei Untersuchungen und Behandlungen, übernimmt Laborarbeiten und Abrechnung. Kommuniziert empathisch mit Patientinnen und Patienten.",Gesundheit,Patientenempfang|Assistenz|Praxisorganisation|Labor|Abrechnung|Hygiene|Dokumentation,3.0
25,Pflegefachmann/-frau (generalistische Pflege),"Versorgt Menschen aller Altersgruppen in Akut‑, Langzeit‑ und ambulanten Settings. Plant und dokumentiert Pflege, führt Maßnahmen durch und arbeitet interprofessionell.",Gesundheit,Grund- und Behandlungspflege|Anatomie/Physiologie|Pflegediagnostik|Dokumentation|Hygiene|Kommunikation|Interdisziplinäre Zusammenarbeit,3.0
26,Tiermedizinische/r Fachangestellte/r (TFA),"Assistiert bei Untersuchungen/Operationen in Tierarztpraxen, organisiert Termine und dokumentiert Behandlungen. Unterstützt Laborarbeiten und Tierpflege.",Gesundheit,Assistenz|Praxisorganisation|Behandlungsvorbereitung|Labor|Hygiene|Dokumentation|Tierhaltung,3.0
27,Zahnmedizinische/r Fachangestellte/r (ZFA),"Assistiert in der Zahnbehandlung, fertigt Röntgenaufnahmen, bereitet Instrumente auf und organisiert Termine. Unterstützt Prophylaxeprogramme und Patientenedukation.",Gesundheit,Behandlungsassistenz|Röntgen|Prophylaxe|Instrumentenaufbereitung|Terminmanagement|Dokumentation,3.0
28,Zahntechniker/in,"Fertigt Zahnersatz und kieferorthopädische Geräte, nutzt CAD/CAM und 3D‑Druck, bearbeitet Keramik/Kunststoffe und stimmt Ästhetik mit Praxen ab.",Gesundheit,Modellherstellung|Kronen/Brücken|Keramik|3D-Druck/CAD-CAM|Anatomie|Farbnahme|Feinhandwerk,3.5
29,Fachinformatiker/in – Anwendungsentwicklung,"Konzipiert und entwickelt Softwareanwendungen, testet und dokumentiert sie. Nutzt Frameworks und Datenbanken, erstellt Schnittstellen und automatisiert Build-/Deploy‑Prozesse. Arbeitet iterativ im Team mit Product/QA.",IT & Technik,Programmierung|Software-Design|Datenbanken|APIs|Testing|Git|Agile Methoden|Dokumentation,3.0
30,Fachinformatiker/in – Daten- und Prozessanalyse,"Analysiert betriebliche Daten- und Prozessströme, entwickelt Lösungen zur Datenaufbereitung und Berichterstattung. Stellt Datenqualität sicher, automatisiert Workflows und unterstützt datengetriebene Entscheidungen.",IT & Technik,Datenmodellierung|ETL|SQL|Python|Prozessanalyse|BI/Reporting|Datenqualität|Datenschutz,3.0
31,Fachinformatiker/in – Digitale Vernetzung,"Vernetzt Maschinen, Anlagen und IT-Systeme über IoT‑/OT‑Schnittstellen. Implementiert sichere Datenflüsse zwischen Edge und Cloud, automatisiert Zustandsüberwachung und optimiert Prozesse durch Telemetrie und Analytics.",IT & Technik,IoT|Netzwerkprotokolle|Edge-Computing|Cloud-Plattformen|IT-Sicherheit|Datenintegration|Automatisierung|Monitoring,3.0
32,Fachinformatiker/in – Systemintegration,"Plant, installiert und betreibt IT‑Infrastrukturen: Clients, Server, Netzwerke, Cloud‑Dienste. Analysiert Störungen, setzt Sicherheits- und Backup‑Konzepte um und dokumentiert Änderungen. Arbeitet eng mit Fachabteilungen und Dienstleistern zusammen.",IT & Technik,Netzwerke|Windows-Server|Linux|Virtualisierung|IT-Sicherheit|Troubleshooting|Kundenservice|Dokumentation,3.0
33,Kaufmann/-frau für Digitalisierungsmanagement,"Verbindet betriebswirtschaftliche Aufgaben mit IT: analysiert Prozesse, erstellt Anforderungen, begleitet Einführung digitaler Lösungen. Koordiniert Projekte, bewertet Kosten/Nutzen und unterstützt den IT‑Betrieb.",IT & Technik,IT-Projektmanagement|Prozessmanagement|Requirements|Change Management|Datenanalyse|IT-Controlling|Stakeholder-Kommunikation,3.0
34,Kaufmann/-frau für IT-System-Management,"Plant und vermarktet IT‑Lösungen, erstellt Angebote, koordiniert Serviceleistungen und steuert Lieferanten. Achtet auf SLA, Lizenzen und Wirtschaftlichkeit und berät Kunden technisch-kaufmännisch.",IT & Technik,IT-Vertrieb|Lösungsdesign|Lizenzmanagement|Service Management|Kalkulation|Angebotswesen|Kundenberatung,3.0
35,Mathematisch‑technische/r Softwareentwickler/in (MATSE),"Entwickelt Software mit Schwerpunkt auf mathematischen Modellen und numerischen Verfahren. Analysiert Problemstellungen, implementiert Algorithmen performant und testbar und arbeitet eng mit Fachabteilungen zusammen.",IT & Technik,Algorithmen|Datenstrukturen|Numerik|Softwareentwicklung|Python|C/C++|Datenbanken|Versionierung,3.0
36,Bankkaufmann/-frau,"Berät Privat‑ und Firmenkundschaft zu Konten, Krediten und Anlagen, erarbeitet Finanzlösungen, achtet auf regulatorische Vorgaben und dokumentiert Geschäfte.",Kaufmännisch,Kundenberatung|Kontoführung|Kredite|Anlageprodukte|Vertrieb|Regulatorik|Finanzanalyse,3.0
37,Immobilienkaufmann/-frau,"Bewirtschaftet Wohn‑/Gewerbeimmobilien, betreut Mieter/WEGs, erstellt Betriebskostenabrechnungen, koordiniert Dienstleister und unterstützt Transaktionen.",Kaufmännisch,Bestandsmanagement|Vermietung|WEG|Betriebskosten|Investmentgrundlagen|Technik-Basics|Kundenservice,3.0
38,Industriekaufmann/-frau,"Steuert kaufmännische Prozesse in Einkauf, Vertrieb, Produktion und Finanzen. Erstellt Angebote, disponiert Materialien, bucht Geschäftsvorfälle und arbeitet mit ERP‑Systemen.",Kaufmännisch,Einkauf|Vertrieb|Buchhaltung|Controlling|Auftragsabwicklung|ERP|Kommunikation,3.0
39,Kaufmann/-frau für Büromanagement,"Organisiert Büro- und Verwaltungsprozesse, koordiniert Termine, kommuniziert mit Kunden und Partnern. Unterstützt Rechnungswesen und Personal und pflegt Daten in Office‑/ERP‑Systemen.",Kaufmännisch,Sekretariat|Organisation|Korrespondenz|Terminplanung|Rechnungswesen|Personalunterstützung|MS Office,3.0
40,Kaufmann/-frau für Spedition und Logistikdienstleistung,"Plant und organisiert nationale und internationale Transporte, wählt Verkehrsträger, kalkuliert Angebote und koordiniert Lager- und Umschlagprozesse. Beachtet Zoll- und Rechtsvorgaben.",Kaufmännisch,Disposition|Zoll|Transportrecht|Kostenkalkulation|Kundenkommunikation|Supply Chain|Tracking,3.0
41,Kaufmann/-frau im E‑Commerce,"Steuert digitale Verkaufskanäle: pflegt Sortimente, optimiert Listings und Kampagnen, analysiert KPIs. Koordiniert Zahlungen, Fulfillment und Kundenservice über Shop‑/Marktplatz‑Systeme.",Kaufmännisch,Online-Marketing|Shop-Management|Produktdatenpflege|Web-Analytik|SEO/SEA|Kundensupport|Logistik-Schnittstellen,3.0
42,Steuerfachangestellte/r,"Unterstützt Steuerkanzleien bei Finanzbuchhaltung, Lohn, Jahresabschlüssen und Steuererklärungen, prüft Belege und kommuniziert mit Mandanten und Behörden.",Kaufmännisch,Finanzbuchhaltung|Jahresabschluss|Steuerrecht|Lohn/Gehalt|DATEV|Mandantenkommunikation|Fristenmanagement,3.0
43,Gestalter/in für visuelles Marketing,"Inszeniert Markenwelten im Raum: Schaufenster, POS‑Flächen, Events. Entwickelt Konzepte, setzt sie handwerklich um und koordiniert Dienstleister und Budgets.",Kreativ/Medien,Konzeption|Raum-/Deko-Design|POS|3D/Sketch|Materialkunde|Projektmanagement|Kommunikation,3.0
44,Mediengestalter/in Digital und Print,"Konzipiert und gestaltet digitale und gedruckte Medien, bearbeitet Bilder und erstellt Layouts. Stimmt sich mit Kundschaft ab und bereitet Daten für Web/Druck auf.",Kreativ/Medien,Layout|Typografie|Bildbearbeitung|Motion/Video|Web-Grundlagen|Druckvorstufe|Kundengespräche,3.0
45,Medienkaufmann/-frau Digital und Print,"Plant und steuert Medienprodukte, koordiniert Redaktion/Produktion, vermarktet in Print/Digital, analysiert Kennzahlen und managt Rechte/Lizenzen.",Kreativ/Medien,Produktmanagement|Redaktion|Vermarktung|Vertrieb|Rechte/Lizenzen|Datenanalyse|CMS,3.0
46,Medientechnologe/-in Druck,"Rüstet und steuert Druckmaschinen (Offset/Digital), stellt Farbe/Passer ein, überwacht Qualität und koordiniert Weiterverarbeitung und Wartung.",Kreativ/Medien,Druckverfahren|Farbmanagement|Maschineneinrichtung|Qualität|Wartung|Materialkunde|Weiterverarbeitung,3.0
47,Berufskraftfahrer/in,"Transportiert Güter im Nah‑ und Fernverkehr, sichert Ladung, plant Touren und hält Lenk‑/Ruhezeiten ein. Führt Fahrzeugkontrollen und kleinere Wartungen durch.",Logistik,Fahrzeugtechnik|Ladungssicherung|Routenplanung|Rechtsvorschriften|Telematik|Kundenkontakt,3.0
48,"Fachkraft für Kurier-, Express- und Postdienstleistungen","Erfasst, sortiert und stellt Sendungen zu, plant effiziente Touren, dokumentiert Zustellungen digital und bearbeitet Kundenanliegen serviceorientiert.",Logistik,Zustellung|Routenplanung|Sendungserfassung|Kundenkontakt|Arbeitsorganisation|Sicherheit|Qualität,2.0
49,Fachkraft für Lagerlogistik,"Organisiert Lagerprozesse von der Annahme über Einlagerung und Kommissionierung bis zum Versand. Nutzt Scanner/ERP, achtet auf Qualität und Sicherheit.",Logistik,Warenannahme|Kommissionierung|Bestandsführung|Warenausgang|Flurförderzeuge|Scanner|SAP/ERP,3.0
50,Kaufmann/-frau für Verkehrsservice,"Betreut Reisende, informiert über Verbindungen/Tarife, koordiniert Service/Disposition und achtet auf Sicherheit und Qualität im Personenverkehr.",Logistik,Service|Disposition|Tarife|Betriebssicherheit|Informationsdienst|Beschwerdemanagement|Vertrieb,3.0
